Date,State,New_Cases,Deaths,Recovered,Total_Tests,Vaccine_Dose_1,Vaccine_Dose_2,Positivity_Rate(%),Active_Cases,Population_Millions,Cumulative_Cases,Cumulative_Deaths,Cumulative_Recovered,Vaccination_Coverage_Dose1(%),Vaccination_Coverage_Dose2(%),Tests_per_Million,Case_Fatality_Rate(%),Recovery_Rate(%)
2020-01-23,Andhra Pradesh,53,0,53,769,1129,426,6.89,0,53.9,19952,175,19857,2.09,0.79,0.014267161410018553,0.88,99.52
2020-01-24,Andhra Pradesh,989,14,980,12152,2988,2823,8.14,0,53.9,20941,189,20837,5.54,5.24,0.22545454545454546,0.9,99.5
2020-01-25,Andhra Pradesh,608,3,600,7549,3501,1314,8.05,5,53.9,21549,192,21437,6.5,2.44,0.1400556586270872,0.89,99.48
2020-01-26,Andhra Pradesh,410,2,407,4469,283,133,9.17,1,53.9,21959,194,21844,0.53,0.25,0.08291280148423005,0.88,99.48
2020-01-27,Andhra Pradesh,79,0,78,1123,3836,585,7.03,1,53.9,22038,194,21922,7.12,1.09,0.020834879406307977,0.88,99.47
2020-01-28,Andhra Pradesh,314,4,306,4023,3438,3393,7.81,4,53.9,22352,198,22228,6.38,6.29,0.07463821892393321,0.89,99.45
2020-01-29,Andhra Pradesh,1132,10,1125,14205,1169,535,7.97,0,53.9,23484,208,23353,2.17,0.99,0.26354359925788495,0.89,99.44
2020-01-30,Andhra Pradesh,343,1,342,4406,4303,2143,7.78,0,53.9,23827,209,23695,7.98,3.98,0.08174397031539889,0.88,99.45
2020-01-31,Andhra Pradesh,623,5,620,7796,1111,197,7.99,0,53.9,24450,214,24315,2.06,0.37,0.14463821892393322,0.88,99.45
2020-02-01,Andhra Pradesh,292,3,292,3564,2792,2786,8.19,0,53.9,24742,217,24607,5.18,5.17,0.06612244897959184,0.88,99.45
2020-02-02,Andhra Pradesh,1519,17,1515,18930,2044,658,8.02,0,53.9,26261,234,26122,3.79,1.22,0.3512059369202226,0.89,99.47
2020-02-03,Andhra Pradesh,1546,5,1542,19375,2195,174,7.98,0,53.9,27807,239,27664,4.07,0.32,0.35946196660482377,0.86,99.49
2020-02-04,Andhra Pradesh,851,12,842,9961,1462,660,8.54,0,53.9,28658,251,28506,2.71,1.22,0.1848051948051948,0.88,99.47
2020-02-05,Andhra Pradesh,253,0,252,2425,4736,3547,10.43,1,53.9,28911,251,28758,8.79,6.58,0.044990723562152134,0.87,99.47
2020-02-06,Andhra Pradesh,423,1,423,5189,940,38,8.15,0,53.9,29334,252,29181,1.74,0.07,0.0962708719851577,0.86,99.48
2020-02-07,Andhra Pradesh,1495,11,1488,18047,2390,1639,8.28,0,53.9,30829,263,30669,4.43,3.04,0.3348237476808905,0.85,99.48
2020-02-08,Andhra Pradesh,55,0,52,627,4936,1026,8.77,3,53.9,30884,263,30721,9.16,1.9,0.01163265306122449,0.85,99.47
2020-02-09,Andhra Pradesh,950,7,950,12435,4548,3444,7.64,0,53.9,31834,270,31671,8.44,6.39,0.23070500927643786,0.85,99.49
2020-02-10,Andhra Pradesh,641,6,634,8055,2410,946,7.96,1,53.9,32475,276,32305,4.47,1.76,0.149443413729128,0.85,99.48
2020-02-11,Andhra Pradesh,378,5,377,4762,4049,2759,7.94,0,53.9,32853,281,32682,7.51,5.12,0.08834879406307977,0.86,99.48
2020-02-12,Andhra Pradesh,1317,7,1312,16543,2330,1239,7.96,0,53.9,34170,288,33994,4.32,2.3,0.30692022263450836,0.84,99.48
2020-02-13,Andhra Pradesh,375,1,370,4804,2430,2051,7.81,4,53.9,34545,289,34364,4.51,3.81,0.08912801484230055,0.84,99.48
2020-02-14,Andhra Pradesh,546,5,541,6615,2368,730,8.25,0,53.9,35091,294,34905,4.39,1.35,0.12272727272727273,0.84,99.47
2020-02-15,Andhra Pradesh,803,6,795,9874,2359,130,8.13,2,53.9,35894,300,35700,4.38,0.24,0.18319109461966604,0.84,99.46
2020-02-16,Andhra Pradesh,1366,5,1357,16990,2980,1113,8.04,4,53.9,37260,305,37057,5.53,2.06,0.31521335807050094,0.82,99.46
2020-02-17,Andhra Pradesh,822,10,822,10471,193,127,7.85,0,53.9,38082,315,37879,0.36,0.24,0.19426716141001854,0.83,99.47
2020-02-18,Andhra Pradesh,1207,15,1205,14908,3368,261,8.1,0,53.9,39289,330,39084,6.25,0.48,0.2765862708719852,0.84,99.48
2020-02-19,Andhra Pradesh,204,1,202,2618,2544,2130,7.79,1,53.9,39493,331,39286,4.72,3.95,0.04857142857142857,0.84,99.48
2020-02-20,Andhra Pradesh,1629,11,1622,19921,43,1,8.18,0,53.9,41122,342,40908,0.08,0.0,0.36959183673469387,0.83,99.48
2020-02-21,Andhra Pradesh,394,4,389,4888,2801,1612,8.06,1,53.9,41516,346,41297,5.2,2.99,0.09068645640074212,0.83,99.47
2020-02-22,Andhra Pradesh,1351,6,1345,17050,3416,1822,7.92,0,53.9,42867,352,42642,6.34,3.38,0.3163265306122449,0.82,99.48
2020-02-23,Andhra Pradesh,268,1,261,3648,2389,1984,7.35,6,53.9,43135,353,42903,4.43,3.68,0.06768089053803339,0.82,99.46
2020-02-24,Andhra Pradesh,398,2,393,5447,3313,1969,7.31,3,53.9,43533,355,43296,6.15,3.65,0.10105751391465677,0.82,99.46
2020-02-25,Andhra Pradesh,1596,9,1594,19907,3659,2200,8.02,0,53.9,45129,364,44890,6.79,4.08,0.36933209647495363,0.81,99.47
2020-02-26,Andhra Pradesh,1142,12,1138,14448,2198,1562,7.9,0,53.9,46271,376,46028,4.08,2.9,0.26805194805194804,0.81,99.47
2020-02-27,Andhra Pradesh,439,2,438,5288,3042,1549,8.3,0,53.9,46710,378,46466,5.64,2.87,0.09810760667903524,0.81,99.48
2020-02-28,Andhra Pradesh,1041,4,1033,13584,3180,3075,7.66,4,53.9,47751,382,47499,5.9,5.71,0.2520222634508349,0.8,99.47
2020-02-29,Andhra Pradesh,763,8,761,9616,3068,2101,7.93,0,53.9,48514,390,48260,5.69,3.9,0.17840445269016697,0.8,99.48
2020-03-01,Andhra Pradesh,1517,11,1517,18835,4298,2690,8.05,0,53.9,50031,401,49777,7.97,4.99,0.349443413729128,0.8,99.49
2020-03-02,Andhra Pradesh,1415,11,1408,17427,830,759,8.12,0,53.9,51446,412,51185,1.54,1.41,0.3233209647495362,0.8,99.49
2020-03-03,Andhra Pradesh,1575,15,1567,19656,1405,612,8.01,0,53.9,53021,427,52752,2.61,1.14,0.36467532467532465,0.81,99.49
2020-03-04,Andhra Pradesh,632,9,632,7726,3698,2154,8.18,0,53.9,53653,436,53384,6.86,4.0,0.14333951762523192,0.81,99.5
2020-03-05,Andhra Pradesh,1572,16,1563,19810,1708,799,7.94,0,53.9,55225,452,54947,3.17,1.48,0.36753246753246754,0.82,99.5
2020-03-06,Andhra Pradesh,1461,5,1456,18076,3748,3498,8.08,0,53.9,56686,457,56403,6.95,6.49,0.3353617810760668,0.81,99.5
2020-03-07,Andhra Pradesh,1566,4,1558,19233,4141,573,8.14,4,53.9,58252,461,57961,7.68,1.06,0.3568274582560297,0.79,99.5
2020-03-08,Andhra Pradesh,425,3,421,5142,2883,1549,8.27,1,53.9,58677,464,58382,5.35,2.87,0.09539888682745826,0.79,99.5
2020-03-09,Andhra Pradesh,1239,4,1234,15358,4793,2227,8.07,1,53.9,59916,468,59616,8.89,4.13,0.28493506493506493,0.78,99.5
2020-03-10,Andhra Pradesh,599,7,590,7661,4351,3232,7.82,2,53.9,60515,475,60206,8.07,6.0,0.14213358070500928,0.78,99.49
2020-03-11,Andhra Pradesh,300,4,297,3800,2227,500,7.89,0,53.9,60815,479,60503,4.13,0.93,0.07050092764378478,0.79,99.49
2020-03-12,Andhra Pradesh,1395,18,1390,17206,4930,3622,8.11,0,53.9,62210,497,61893,9.15,6.72,0.31922077922077924,0.8,99.49
2020-03-13,Andhra Pradesh,129,1,129,1474,2002,255,8.75,0,53.9,62339,498,62022,3.71,0.47,0.027346938775510202,0.8,99.49
2020-03-14,Andhra Pradesh,155,1,152,2121,4510,294,7.31,2,53.9,62494,499,62174,8.37,0.55,0.03935064935064935,0.8,99.49
2020-03-15,Andhra Pradesh,1107,5,1099,13977,1465,340,7.92,3,53.9,63601,504,63273,2.72,0.63,0.2593135435992579,0.79,99.48
2020-03-16,Andhra Pradesh,1187,10,1185,15059,1943,1183,7.88,0,53.9,64788,514,64458,3.6,2.19,0.27938775510204084,0.79,99.49
2020-03-17,Andhra Pradesh,409,1,401,5240,3499,1161,7.81,7,53.9,65197,515,64859,6.49,2.15,0.09721706864564007,0.79,99.48
2020-03-18,Andhra Pradesh,1404,8,1396,17285,360,82,8.12,0,53.9,66601,523,66255,0.67,0.15,0.3206864564007421,0.79,99.48
2020-03-19,Andhra Pradesh,1520,8,1511,18825,162,142,8.07,1,53.9,68121,531,67766,0.3,0.26,0.3492578849721707,0.78,99.48
2020-03-20,Andhra Pradesh,1204,7,1201,14809,3841,2456,8.13,0,53.9,69325,538,68967,7.13,4.56,0.2747495361781076,0.78,99.48
2020-03-21,Andhra Pradesh,992,8,992,12385,3168,2486,8.01,0,53.9,70317,546,69959,5.88,4.61,0.2297773654916512,0.78,99.49
2020-03-22,Andhra Pradesh,99,0,98,773,2943,2812,12.81,1,53.9,70416,546,70057,5.46,5.22,0.014341372912801484,0.78,99.49
2020-03-23,Andhra Pradesh,410,5,405,5133,3242,3187,7.99,0,53.9,70826,551,70462,6.01,5.91,0.09523191094619667,0.78,99.49
2020-03-24,Andhra Pradesh,200,2,194,2639,3436,1631,7.58,4,53.9,71026,553,70656,6.37,3.03,0.04896103896103896,0.78,99.48
2020-03-25,Andhra Pradesh,1044,13,1037,13013,3376,1332,8.02,0,53.9,72070,566,71693,6.26,2.47,0.24142857142857144,0.79,99.48
2020-03-26,Andhra Pradesh,1438,14,1434,17901,471,6,8.03,0,53.9,73508,580,73127,0.87,0.01,0.33211502782931357,0.79,99.48
2020-03-27,Andhra Pradesh,1129,5,1123,14331,3661,1533,7.88,1,53.9,74637,585,74250,6.79,2.84,0.2658812615955473,0.78,99.48
2020-03-28,Andhra Pradesh,1446,19,1442,18273,3735,2121,7.91,0,53.9,76083,604,75692,6.93,3.94,0.33901669758812614,0.79,99.49
2020-03-29,Andhra Pradesh,59,0,53,786,1137,16,7.51,6,53.9,76142,604,75745,2.11,0.03,0.014582560296846011,0.79,99.48
2020-03-30,Andhra Pradesh,1336,11,1331,16866,1959,340,7.92,0,53.9,77478,615,77076,3.63,0.63,0.31291280148423006,0.79,99.48
2020-03-31,Andhra Pradesh,800,4,792,10151,2907,865,7.88,4,53.9,78278,619,77868,5.39,1.6,0.18833024118738403,0.79,99.48
2020-04-01,Andhra Pradesh,1034,9,1033,12943,4522,2467,7.99,0,53.9,79312,628,78901,8.39,4.58,0.24012987012987014,0.79,99.48
2020-04-02,Andhra Pradesh,700,6,699,8477,4112,2007,8.26,0,53.9,80012,634,79600,7.63,3.72,0.1572727272727273,0.79,99.49
2020-04-03,Andhra Pradesh,1109,6,1100,14553,2461,735,7.62,3,53.9,81121,640,80700,4.57,1.36,0.27,0.79,99.48
2020-04-04,Andhra Pradesh,278,4,277,3283,2486,874,8.47,0,53.9,81399,644,80977,4.61,1.62,0.060909090909090906,0.79,99.48
2020-04-05,Andhra Pradesh,748,4,740,9496,3679,2538,7.88,4,53.9,82147,648,81717,6.83,4.71,0.17617810760667904,0.79,99.48
2020-04-06,Andhra Pradesh,677,3,677,8705,1953,28,7.78,0,53.9,82824,651,82394,3.62,0.05,0.16150278293135437,0.79,99.48
2020-04-07,Andhra Pradesh,226,1,222,2514,301,277,8.99,3,53.9,83050,652,82616,0.56,0.51,0.04664192949907236,0.79,99.48
2020-04-08,Andhra Pradesh,1504,20,1495,18720,722,365,8.03,0,53.9,84554,672,84111,1.34,0.68,0.3473098330241187,0.79,99.48
2020-04-09,Andhra Pradesh,397,2,390,4796,1104,1078,8.28,5,53.9,84951,674,84501,2.05,2.0,0.08897959183673469,0.79,99.47
2020-04-10,Andhra Pradesh,660,7,659,8111,2177,861,8.14,0,53.9,85611,681,85160,4.04,1.6,0.15048237476808907,0.8,99.47
2020-04-11,Andhra Pradesh,1239,13,1233,15554,1798,1688,7.97,0,53.9,86850,694,86393,3.34,3.13,0.2885714285714286,0.8,99.47
2020-04-12,Andhra Pradesh,1351,18,1347,16851,2622,2372,8.02,0,53.9,88201,712,87740,4.86,4.4,0.3126345083487941,0.81,99.48
2020-04-13,Andhra Pradesh,882,4,876,11106,1104,1071,7.94,2,53.9,89083,716,88616,2.05,1.99,0.2060482374768089,0.8,99.48
2020-04-14,Andhra Pradesh,856,5,856,10321,3565,1770,8.29,0,53.9,89939,721,89472,6.61,3.28,0.19148423005565862,0.8,99.48
2020-04-15,Andhra Pradesh,314,3,310,4129,3356,152,7.6,1,53.9,90253,724,89782,6.23,0.28,0.07660482374768089,0.8,99.48
2020-04-16,Andhra Pradesh,1315,17,1306,16382,951,357,8.03,0,53.9,91568,741,91088,1.76,0.66,0.3039332096474954,0.81,99.48
2020-04-17,Andhra Pradesh,1332,4,1324,16589,824,529,8.03,4,53.9,92900,745,92412,1.53,0.98,0.30777365491651204,0.8,99.47
2020-04-18,Andhra Pradesh,1389,14,1389,17051,3508,3023,8.15,0,53.9,94289,759,93801,6.51,5.61,0.3163450834879406,0.8,99.48
2020-04-19,Andhra Pradesh,803,4,802,10361,3465,1583,7.75,0,53.9,95092,763,94603,6.43,2.94,0.19222634508348793,0.8,99.49
2020-04-20,Andhra Pradesh,1165,15,1160,14492,649,163,8.04,0,53.9,96257,778,95763,1.2,0.3,0.2688682745825603,0.81,99.49
2020-04-21,Andhra Pradesh,965,9,959,11988,4161,974,8.05,0,53.9,97222,787,96722,7.72,1.81,0.22241187384044528,0.81,99.49
2020-04-22,Andhra Pradesh,554,3,548,6464,3487,660,8.57,3,53.9,97776,790,97270,6.47,1.22,0.11992578849721706,0.81,99.48
2020-04-23,Andhra Pradesh,261,1,261,2831,1419,341,9.22,0,53.9,98037,791,97531,2.63,0.63,0.05252319109461966,0.81,99.48
2020-04-24,Andhra Pradesh,722,7,718,9018,3535,1892,8.01,0,53.9,98759,798,98249,6.56,3.51,0.16730983302411873,0.81,99.48
2020-04-25,Andhra Pradesh,589,1,587,7417,1906,709,7.94,1,53.9,99348,799,98836,3.54,1.32,0.13760667903525045,0.8,99.48
2020-04-26,Andhra Pradesh,245,1,244,2727,934,55,8.98,0,53.9,99593,800,99080,1.73,0.1,0.05059369202226345,0.8,99.48
2020-04-27,Andhra Pradesh,1452,17,1451,18215,4482,460,7.97,0,53.9,101045,817,100531,8.32,0.85,0.33794063079777364,0.81,99.49
2020-04-28,Andhra Pradesh,896,7,895,10621,4776,3662,8.44,0,53.9,101941,824,101426,8.86,6.79,0.1970500927643785,0.81,99.49
2020-04-29,Andhra Pradesh,384,1,376,4464,2919,676,8.6,7,53.9,102325,825,101802,5.42,1.25,0.08282003710575139,0.81,99.49
2020-04-30,Andhra Pradesh,999,8,995,12658,1093,5,7.89,0,53.9,103324,833,102797,2.03,0.01,0.23484230055658628,0.81,99.49
2020-05-01,Andhra Pradesh,1136,15,1132,14380,4666,4295,7.9,0,53.9,104460,848,103929,8.66,7.97,0.26679035250463823,0.81,99.49
2020-05-02,Andhra Pradesh,655,6,653,8209,1341,243,7.98,0,53.9,105115,854,104582,2.49,0.45,0.15230055658627087,0.81,99.49
2020-05-03,Andhra Pradesh,236,1,228,2804,2475,875,8.42,7,53.9,105351,855,104810,4.59,1.62,0.05202226345083488,0.81,99.49
2020-05-04,Andhra Pradesh,902,10,899,11581,3577,2981,7.79,0,53.9,106253,865,105709,6.64,5.53,0.214860853432282,0.81,99.49
2020-05-05,Andhra Pradesh,1191,11,1191,14824,4078,3332,8.03,0,53.9,107444,876,106900,7.57,6.18,0.2750278293135436,0.82,99.49
2020-05-06,Andhra Pradesh,1499,19,1497,18348,1596,1530,8.17,0,53.9,108943,895,108397,2.96,2.84,0.3404081632653061,0.82,99.5
2020-05-07,Andhra Pradesh,1016,8,1015,12739,4542,3675,7.98,0,53.9,109959,903,109412,8.43,6.82,0.23634508348794064,0.82,99.5
2020-05-08,Andhra Pradesh,1379,13,1378,17207,4068,3090,8.01,0,53.9,111338,916,110790,7.55,5.73,0.3192393320964749,0.82,99.51
2020-05-09,Andhra Pradesh,991,10,991,12598,392,329,7.87,0,53.9,112329,926,111781,0.73,0.61,0.2337291280148423,0.82,99.51
2020-05-10,Andhra Pradesh,1486,18,1486,18755,4500,49,7.92,0,53.9,113815,944,113267,8.35,0.09,0.3479591836734694,0.83,99.52
2020-05-11,Andhra Pradesh,1185,14,1181,14781,1855,929,8.02,0,53.9,115000,958,114448,3.44,1.72,0.27423005565862707,0.83,99.52
2020-05-12,Andhra Pradesh,808,12,801,10382,2303,1730,7.78,0,53.9,115808,970,115249,4.27,3.21,0.19261595547309834,0.84,99.52
2020-05-13,Andhra Pradesh,988,8,982,12169,508,225,8.12,0,53.9,116796,978,116231,0.94,0.42,0.2257699443413729,0.84,99.52
2020-05-14,Andhra Pradesh,1403,7,1396,17893,2321,1698,7.84,0,53.9,118199,985,117627,4.31,3.15,0.3319666048237477,0.83,99.52
2020-05-15,Andhra Pradesh,144,0,136,2293,1270,517,6.28,8,53.9,118343,985,117763,2.36,0.96,0.0425417439703154,0.83,99.51
2020-05-16,Andhra Pradesh,1443,9,1436,18474,2026,843,7.81,0,53.9,119786,994,119199,3.76,1.56,0.34274582560296846,0.83,99.51
2020-05-17,Andhra Pradesh,231,3,231,2937,3584,1878,7.87,0,53.9,120017,997,119430,6.65,3.48,0.05448979591836735,0.83,99.51
2020-05-18,Andhra Pradesh,431,3,423,5077,2628,53,8.49,5,53.9,120448,1000,119853,4.88,0.1,0.09419294990723562,0.83,99.51
2020-05-19,Andhra Pradesh,1246,9,1240,15191,1806,869,8.2,0,53.9,121694,1009,121093,3.35,1.61,0.28183673469387754,0.83,99.51
2020-05-20,Andhra Pradesh,483,2,483,6075,4443,229,7.95,0,53.9,122177,1011,121576,8.24,0.42,0.11270871985157699,0.83,99.51
2020-05-21,Andhra Pradesh,985,3,981,12115,4687,4539,8.13,1,53.9,123162,1014,122557,8.7,8.42,0.22476808905380333,0.82,99.51
2020-05-22,Andhra Pradesh,1450,8,1446,18007,4491,2156,8.05,0,53.9,124612,1022,124003,8.33,4.0,0.33408163265306123,0.82,99.51
2020-05-23,Andhra Pradesh,1456,12,1455,17975,18,6,8.1,0,53.9,126068,1034,125458,0.03,0.01,0.3334879406307978,0.82,99.52
2020-05-24,Andhra Pradesh,1292,7,1288,15519,784,157,8.33,0,53.9,127360,1041,126746,1.45,0.29,0.2879220779220779,0.82,99.52
2020-05-25,Andhra Pradesh,1271,9,1269,15654,195,174,8.12,0,53.9,128631,1050,128015,0.36,0.32,0.29042671614100185,0.82,99.52
2020-05-26,Andhra Pradesh,273,3,271,3401,3058,1292,8.03,0,53.9,128904,1053,128286,5.67,2.4,0.06309833024118738,0.82,99.52
2020-05-27,Andhra Pradesh,1135,13,1134,13935,3488,3424,8.14,0,53.9,130039,1066,129420,6.47,6.35,0.25853432282003713,0.82,99.52
2020-05-28,Andhra Pradesh,390,5,390,4965,3727,2269,7.85,0,53.9,130429,1071,129810,6.91,4.21,0.09211502782931355,0.82,99.53
2020-05-29,Andhra Pradesh,832,3,831,9863,3297,967,8.44,0,53.9,131261,1074,130641,6.12,1.79,0.18298701298701298,0.82,99.53
2020-05-30,Andhra Pradesh,1276,17,1272,15565,697,627,8.2,0,53.9,132537,1091,131913,1.29,1.16,0.28877551020408165,0.82,99.53
2020-05-31,Andhra Pradesh,874,6,866,10992,718,228,7.95,2,53.9,133411,1097,132779,1.33,0.42,0.20393320964749537,0.82,99.53
2020-06-01,Andhra Pradesh,1492,5,1491,18304,2579,1602,8.15,0,53.9,134903,1102,134270,4.78,2.97,0.3395918367346939,0.82,99.53
2020-06-02,Andhra Pradesh,1218,12,1213,15370,1599,554,7.92,0,53.9,136121,1114,135483,2.97,1.03,0.28515769944341374,0.82,99.53
2020-06-03,Andhra Pradesh,1044,6,1042,13190,4242,2114,7.92,0,53.9,137165,1120,136525,7.87,3.92,0.24471243042671614,0.82,99.53
2020-06-04,Andhra Pradesh,195,2,187,2458,3938,1053,7.93,6,53.9,137360,1122,136712,7.31,1.95,0.04560296846011132,0.82,99.53
2020-06-05,Andhra Pradesh,193,1,191,2140,1025,629,9.02,1,53.9,137553,1123,136903,1.9,1.17,0.03970315398886828,0.82,99.53
2020-06-06,Andhra Pradesh,736,9,732,8826,1172,279,8.34,0,53.9,138289,1132,137635,2.17,0.52,0.16374768089053804,0.82,99.53
2020-06-07,Andhra Pradesh,120,0,113,1362,1508,364,8.81,7,53.9,138409,1132,137748,2.8,0.68,0.025269016697588124,0.82,99.52
2020-06-08,Andhra Pradesh,1087,15,1082,13403,4024,1845,8.11,0,53.9,139496,1147,138830,7.47,3.42,0.24866419294990724,0.82,99.52
2020-06-09,Andhra Pradesh,399,4,398,5207,1368,955,7.66,0,53.9,139895,1151,139228,2.54,1.77,0.0966048237476809,0.82,99.52
2020-06-10,Andhra Pradesh,897,5,891,11182,4192,2294,8.02,1,53.9,140792,1156,140119,7.78,4.26,0.2074582560296846,0.82,99.52
2020-06-11,Andhra Pradesh,1089,5,1080,13447,487,67,8.1,4,53.9,141881,1161,141199,0.9,0.12,0.24948051948051947,0.82,99.52
2020-06-12,Andhra Pradesh,376,5,371,4582,3072,2480,8.21,0,53.9,142257,1166,141570,5.7,4.6,0.08500927643784786,0.82,99.52
2020-06-13,Andhra Pradesh,1560,20,1551,19384,2513,108,8.05,0,53.9,143817,1186,143121,4.66,0.2,0.35962894248608535,0.82,99.52
2020-06-14,Andhra Pradesh,386,4,378,5153,27,23,7.49,4,53.9,144203,1190,143499,0.05,0.04,0.09560296846011132,0.83,99.51
2020-06-15,Andhra Pradesh,570,6,568,6882,3896,3713,8.28,0,53.9,144773,1196,144067,7.23,6.89,0.1276808905380334,0.83,99.51
2020-06-16,Andhra Pradesh,122,1,118,1335,3175,536,9.14,3,53.9,144895,1197,144185,5.89,0.99,0.02476808905380334,0.83,99.51
2020-06-17,Andhra Pradesh,1415,20,1411,17017,1545,631,8.32,0,53.9,146310,1217,145596,2.87,1.17,0.3157142857142857,0.83,99.51
2020-06-18,Andhra Pradesh,645,5,638,8305,687,620,7.77,2,53.9,146955,1222,146234,1.27,1.15,0.1540816326530612,0.83,99.51
2020-06-19,Andhra Pradesh,558,7,554,6694,3116,2351,8.34,0,53.9,147513,1229,146788,5.78,4.36,0.12419294990723562,0.83,99.51
2020-06-20,Andhra Pradesh,579,4,572,7330,4180,2151,7.9,3,53.9,148092,1233,147360,7.76,3.99,0.1359925788497217,0.83,99.51
2020-06-21,Andhra Pradesh,241,1,240,2957,838,26,8.15,0,53.9,148333,1234,147600,1.55,0.05,0.054860853432282,0.83,99.51
2020-06-22,Andhra Pradesh,130,1,130,1412,4212,1369,9.21,0,53.9,148463,1235,147730,7.81,2.54,0.02619666048237477,0.83,99.51
2020-06-23,Andhra Pradesh,126,1,120,1835,2842,417,6.87,5,53.9,148589,1236,147850,5.27,0.77,0.03404452690166976,0.83,99.5
2020-06-24,Andhra Pradesh,82,0,82,836,3400,1210,9.81,0,53.9,148671,1236,147932,6.31,2.24,0.015510204081632653,0.83,99.5
2020-06-25,Andhra Pradesh,941,6,933,11314,4003,2482,8.32,2,53.9,149612,1242,148865,7.43,4.6,0.20990723562152133,0.83,99.5
2020-06-26,Andhra Pradesh,1318,14,1317,16054,2203,1397,8.21,0,53.9,150930,1256,150182,4.09,2.59,0.297847866419295,0.83,99.5
2020-06-27,Andhra Pradesh,860,10,852,10419,2196,916,8.25,0,53.9,151790,1266,151034,4.07,1.7,0.19330241187384045,0.83,99.5
2020-06-28,Andhra Pradesh,183,2,180,2190,387,164,8.36,1,53.9,151973,1268,151214,0.72,0.3,0.040630797773654914,0.83,99.5
2020-06-29,Andhra Pradesh,911,9,903,11540,1096,530,7.89,0,53.9,152884,1277,152117,2.03,0.98,0.21410018552875695,0.84,99.5
